case,risk_id,likelihood_residual,impact_residual,score,consequence_class,c_star,approved_gate,heatmap_gate_at_declared_threshold,divergent,disposition,gate_sources
case_a,R-01,4,5,20,client_harm,0,1,1,0,RuntimeDisposition,mandatory/OTHER_MANDATORY
case_a,R-02,4,4,16,client_harm,0,1,1,0,RuntimeDisposition,mandatory/OTHER_MANDATORY
case_a,R-03,4,4,16,client_harm,0,1,1,0,RuntimeDisposition,mandatory/OTHER_MANDATORY
case_a,R-04,3,4,12,conduct,0,0,0,0,RuntimeDisposition,advisory/SOFT|weighted/SOFT
case_a,R-05,3,5,15,information_barrier,1,1,1,0,RuntimeDisposition,mandatory/C_STAR
case_a,R-06,3,5,15,statutory,1,1,1,0,RuntimeDisposition,mandatory/C_STAR
case_a,R-07,3,5,15,security,0,1,1,0,RuntimeDisposition,mandatory/OTHER_MANDATORY
case_a,R-08,3,5,15,authority,1,1,1,0,RuntimeDisposition,mandatory/C_STAR
case_a,R-09,3,4,12,authority,1,1,0,1,RuntimeDisposition,mandatory/C_STAR
case_a,R-10,2,5,10,irreversible,1,1,0,1,RuntimeDisposition,mandatory/C_STAR
case_a,R-11,4,4,16,governance,0,1,1,0,RuntimeDisposition,mandatory/OTHER_MANDATORY
case_a,R-12,3,4,12,governance,0,0,0,0,RuntimeDisposition,advisory/SOFT
case_a,R-13,2,5,10,statutory,1,1,0,1,RuntimeDisposition,mandatory/C_STAR
case_a,R-14,3,4,12,operational_resilience,0,0,0,0,NonRuntimeDisposition,none
case_a,R-15,3,2,6,reputational,0,0,0,0,NonRuntimeDisposition,none
case_a,R-16,2,4,8,third_party_viability,0,0,0,0,NonRuntimeDisposition,none
case_b,B-01,3,5,15,authority,1,1,1,0,RuntimeDisposition,mandatory/C_STAR
case_b,B-02,4,4,16,financial_loss,0,1,1,0,RuntimeDisposition,mandatory/OTHER_MANDATORY
case_b,B-03,3,4,12,financial_loss,0,1,0,1,RuntimeDisposition,mandatory/OTHER_MANDATORY
case_b,B-04,1,5,5,statutory,1,1,0,1,RuntimeDisposition,mandatory/C_STAR
case_b,B-05,2,5,10,irreversible,1,1,0,1,RuntimeDisposition,mandatory/C_STAR
case_b,B-06,2,5,10,statutory,1,1,0,1,RuntimeDisposition,mandatory/C_STAR
