case,risk_id,approved_L,approved_I,approved_score,approved_gate,heatmap_gate_approved,FP_heat,FP_heat_mcse,FP_cstar,distance_to_threshold
case_a,R-01,4,5,20,1,1,0.03805,0.001352815536205879,0.0,5
case_a,R-02,4,4,16,1,1,0.27515,0.003157866981840749,0.0,1
case_a,R-03,4,4,16,1,1,0.28125,0.0031792171795899694,0.0,1
case_a,R-04,3,4,12,0,0,0.2804,0.003176285881340028,0.0,-3
case_a,R-05,3,5,15,1,1,0.31445,0.003283071713350167,0.0,0
case_a,R-06,3,5,15,1,1,0.3221,0.0033041760697638373,0.0,0
case_a,R-07,3,5,15,1,1,0.31945,0.0032969811760154167,0.0,0
case_a,R-08,3,5,15,1,1,0.31445,0.003283071713350167,0.0,0
case_a,R-09,3,4,12,1,0,0.27745,0.0031660029808893105,0.0,-3
case_a,R-10,2,5,10,1,0,0.1603,0.0025942620337968945,0.0,-5
case_a,R-11,4,4,16,1,1,0.2742,0.0031544758677155863,0.0,1
case_a,R-12,3,4,12,0,0,0.28295,0.00318503765676326,0.0,-3
case_a,R-13,2,5,10,1,0,0.16215,0.002606313272613252,0.0,-5
case_a,R-14,3,4,12,0,0,0.27865,0.0031702064404388556,0.0,-3
case_a,R-15,3,2,6,0,0,0.0,0.0,0.0,-9
case_a,R-16,2,4,8,0,0,0.0396,0.0013789822333880883,0.0,-7
case_b,B-01,3,5,15,1,1,0.32155,0.0033026928217743776,0.0,0
case_b,B-02,4,4,16,1,1,0.27515,0.003157866981840749,0.0,1
case_b,B-03,3,4,12,1,0,0.2866,0.0031973460869915223,0.0,-3
case_b,B-04,1,5,5,1,0,0.0,0.0,0.0,-10
case_b,B-05,2,5,10,1,0,0.16075,0.002597204627094292,0.0,-5
case_b,B-06,2,5,10,1,0,0.15445,0.0025553394833172363,0.0,-5
