run_id,case,stratum,permutation,numeric_form,permutation_spec,permutation_seed,environment,environment_fingerprint,python_hash_seed,locale,timezone,hash,reference_hash,pass
case_a-001,case_a,repeat,repeat_01,False,{},96029441,in_process,a944f09bd81b14ac,48046374,C,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-002,case_a,repeat,repeat_02,False,{},639597101,clean_process,900372a946323647,4110778351,en_US.UTF-8,Pacific/Chatham,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-003,case_a,repeat,repeat_03,False,{},13918715,in_process,c5e4ba3a4ac2845b,447026317,"de_DE.UTF-8 (unavailable, fell back to LC_CTYPE=C.UTF-8;LC_NUMERIC=C;LC_TIME=C;LC_COLLATE=C;LC_MONETARY=C;LC_MESSAGES=C;LC_PAPER=C;LC_NAME=C;LC_ADDRESS=C;LC_TELEPHONE=C;LC_MEASUREMENT=C;LC_IDENTIFICATION=C)",America/Edmonton,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-004,case_a,repeat,repeat_04,False,{},1895190805,clean_process,b6d15056ea09566f,4095724329,tr_TR.UTF-8,Europe/Berlin,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-005,case_a,repeat,repeat_05,False,{},2023481059,in_process,0ab84cb54f1ffa84,215321799,"ja_JP.UTF-8 (unavailable, fell back to LC_CTYPE=C.UTF-8;LC_NUMERIC=C;LC_TIME=C;LC_COLLATE=C;LC_MONETARY=C;LC_MESSAGES=C;LC_PAPER=C;LC_NAME=C;LC_ADDRESS=C;LC_TELEPHONE=C;LC_MEASUREMENT=C;LC_IDENTIFICATION=C)",Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-006,case_a,repeat,repeat_06,False,{},824110192,clean_process,7bd5c5e05e8e3dac,3082026876,C,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-007,case_a,repeat,repeat_07,False,{},1921478837,in_process,43003c66e3367979,92540749,en_US.UTF-8,Pacific/Chatham,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-008,case_a,repeat,repeat_08,False,{},381326646,clean_process,387a8398a64f45ea,3845123093,de_DE.UTF-8,America/Edmonton,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-009,case_a,repeat,repeat_09,False,{},1100509109,in_process,2ba7df8e03cb184e,527853120,"tr_TR.UTF-8 (unavailable, fell back to LC_CTYPE=C.UTF-8;LC_NUMERIC=C;LC_TIME=C;LC_COLLATE=C;LC_MONETARY=C;LC_MESSAGES=C;LC_PAPER=C;LC_NAME=C;LC_ADDRESS=C;LC_TELEPHONE=C;LC_MEASUREMENT=C;LC_IDENTIFICATION=C)",Europe/Berlin,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-010,case_a,repeat,repeat_10,False,{},77767528,clean_process,9e43c1cba4236b5a,1136804847,ja_JP.UTF-8,Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-011,case_a,row_shuffle,row_shuffle_01,False,"{""risk_order"": true}",597850609,in_process,ebeb3dae33931320,2207399378,C,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
