case,pass,query_id,control_label,row_count,expected,outcome
case_a,clean,Q1,,0,empty,PASS
case_a,clean,Q2,,0,empty,PASS
case_a,clean,Q3,,0,empty,PASS
case_a,clean,Q4,,0,empty,PASS
case_a,clean,Q5,,0,empty,PASS
case_a,clean,Q6,,0,empty,PASS
case_a,negative_control,Q1,orphan obligation,1,non-empty,PASS
case_a,negative_control,Q2,risk with no disposition,1,non-empty,PASS
case_a,negative_control,Q2,risk with two dispositions,1,non-empty,PASS
case_a,negative_control,Q3,orphan predicate,1,non-empty,PASS
case_a,negative_control,Q4,post-retirement receipt,1,non-empty,PASS
case_a,negative_control,Q4,wrong bundle hash,1,non-empty,PASS
case_a,negative_control,Q5,actuation with no receipt,1,non-empty,PASS
case_a,negative_control,Q5,commit after actuation,1,non-empty,PASS
case_a,negative_control,Q6,unauthorized registry signature,1,non-empty,PASS
case_b,clean,Q1,,0,empty,PASS
case_b,clean,Q2,,0,empty,PASS
case_b,clean,Q3,,0,empty,PASS
case_b,clean,Q4,,0,empty,PASS
case_b,clean,Q5,,0,empty,PASS
case_b,clean,Q6,,0,empty,PASS
case_b,negative_control,Q1,orphan obligation,1,non-empty,PASS
case_b,negative_control,Q2,risk with no disposition,1,non-empty,PASS
case_b,negative_control,Q2,risk with two dispositions,1,non-empty,PASS
case_b,negative_control,Q3,orphan predicate,1,non-empty,PASS
case_b,negative_control,Q4,post-retirement receipt,1,non-empty,PASS
case_b,negative_control,Q4,wrong bundle hash,1,non-empty,PASS
case_b,negative_control,Q5,actuation with no receipt,1,non-empty,PASS
case_b,negative_control,Q5,commit after actuation,1,non-empty,PASS
case_b,negative_control,Q6,unauthorized registry signature,1,non-empty,PASS
