case,risk_id,approved_L,approved_I,approved_score,approved_gate,heatmap_gate_approved,FP_heat,FP_heat_mcse,FP_cstar,distance_to_threshold
case_a,R-01,4,5,20,1,1,0.039436,0.0003892598201921179,0.0,5
case_a,R-02,4,4,16,1,1,0.27992,0.0008979193585172334,0.0,1
case_a,R-03,4,4,16,1,1,0.279792,0.0008977938220682964,0.0,1
case_a,R-04,3,4,12,0,0,0.281192,0.000899161963465982,0.0,-3
case_a,R-05,3,5,15,1,1,0.320984,0.0009337093161021797,0.0,0
case_a,R-06,3,5,15,1,1,0.321268,0.000933926918288578,0.0,0
case_a,R-07,3,5,15,1,1,0.319444,0.0009325224519849374,0.0,0
case_a,R-08,3,5,15,1,1,0.321148,0.0009338350220376187,0.0,0
case_a,R-09,3,4,12,1,0,0.279068,0.0008970820505973798,0.0,-3
case_a,R-10,2,5,10,1,0,0.159128,0.0007315908135453862,0.0,-5
case_a,R-11,4,4,16,1,1,0.2802,0.0008981936539521976,0.0,1
case_a,R-12,3,4,12,0,0,0.2814,0.0008993643088315213,0.0,-3
case_a,R-13,2,5,10,1,0,0.159592,0.000732454486056301,0.0,-5
case_a,R-14,3,4,12,0,0,0.279188,0.000897200224378037,0.0,-3
case_a,R-15,3,2,6,0,0,0.0,0.0,0.0,-9
case_a,R-16,2,4,8,0,0,0.040416,0.000393865697638167,0.0,-7
case_b_v1_1,B-01,3,5,15,1,1,0.31798,0.000931383314430745,0.0,0
case_b_v1_1,B-02,4,4,16,1,1,0.27992,0.0008979193585172334,0.0,1
case_b_v1_1,B-03,3,4,12,1,0,0.278316,0.000896339677006435,0.0,-3
case_b_v1_1,B-04,1,5,5,1,0,0.0,0.0,0.0,-10
case_b_v1_1,B-05,2,5,10,1,0,0.159252,0.0007318218375971027,0.0,-5
case_b_v1_1,B-06,2,5,10,1,0,0.158804,0.0007309864282844107,0.0,-5
